anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:1
dis_span:256
dropout_rate:0.2
gpu:1
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Test epoch:70, time: 281.765279(s), NDCG (@2: 0.1281, @5: 0.1649, @10: 0.1884), Recall (@2: 0.1445, @5: 0.2268, @10: 0.2997)

Valid epoch:72, time: 289.934628(s), NDCG (@2: 0.1216, @5: 0.1555, @10: 0.1784), Recall (@2: 0.1406, @5: 0.2152, @10: 0.2859)
Test epoch:72, time: 289.934628(s), NDCG (@2: 0.1275, @5: 0.1659, @10: 0.1880), Recall (@2: 0.1442, @5: 0.2301, @10: 0.2984)

Valid epoch:74, time: 298.095799(s), NDCG (@2: 0.1184, @5: 0.1528, @10: 0.1771), Recall (@2: 0.1371, @5: 0.2137, @10: 0.2889)
Test epoch:74, time: 298.095799(s), NDCG (@2: 0.1295, @5: 0.1648, @10: 0.1876), Recall (@2: 0.1466, @5: 0.2257, @10: 0.2962)

Valid epoch:76, time: 306.223551(s), NDCG (@2: 0.1176, @5: 0.1530, @10: 0.1775), Recall (@2: 0.1365, @5: 0.2158, @10: 0.2917)
Test epoch:76, time: 306.223551(s), NDCG (@2: 0.1287, @5: 0.1619, @10: 0.1874), Recall (@2: 0.1479, @5: 0.2223, @10: 0.3016)

Valid epoch:78, time: 314.328723(s), NDCG (@2: 0.1166, @5: 0.1515, @10: 0.1767), Recall (@2: 0.1350, @5: 0.2128, @10: 0.2909)
Test epoch:78, time: 314.328723(s), NDCG (@2: 0.1230, @5: 0.1576, @10: 0.1812), Recall (@2: 0.1408, @5: 0.2176, @10: 0.2909)

Valid epoch:80, time: 322.440817(s), NDCG (@2: 0.1144, @5: 0.1507, @10: 0.1742), Recall (@2: 0.1311, @5: 0.2119, @10: 0.2850)
Test epoch:80, time: 322.440817(s), NDCG (@2: 0.1252, @5: 0.1591, @10: 0.1824), Recall (@2: 0.1432, @5: 0.2199, @10: 0.2919)

Valid epoch:82, time: 330.382949(s), NDCG (@2: 0.1125, @5: 0.1483, @10: 0.1724), Recall (@2: 0.1311, @5: 0.2104, @10: 0.2850)
Test epoch:82, time: 330.382949(s), NDCG (@2: 0.1283, @5: 0.1640, @10: 0.1866), Recall (@2: 0.1449, @5: 0.2249, @10: 0.2947)

Valid epoch:84, time: 338.399993(s), NDCG (@2: 0.1125, @5: 0.1515, @10: 0.1743), Recall (@2: 0.1268, @5: 0.2132, @10: 0.2837)
Test epoch:84, time: 338.399993(s), NDCG (@2: 0.1261, @5: 0.1618, @10: 0.1847), Recall (@2: 0.1432, @5: 0.2225, @10: 0.2934)

Valid epoch:86, time: 346.565819(s), NDCG (@2: 0.1157, @5: 0.1498, @10: 0.1726), Recall (@2: 0.1339, @5: 0.2102, @10: 0.2812)
Test epoch:86, time: 346.565819(s), NDCG (@2: 0.1245, @5: 0.1574, @10: 0.1808), Recall (@2: 0.1412, @5: 0.2143, @10: 0.2870)

Valid epoch:88, time: 354.549738(s), NDCG (@2: 0.1156, @5: 0.1512, @10: 0.1756), Recall (@2: 0.1335, @5: 0.2124, @10: 0.2885)
Test epoch:88, time: 354.549738(s), NDCG (@2: 0.1316, @5: 0.1664, @10: 0.1907), Recall (@2: 0.1492, @5: 0.2262, @10: 0.3012)

Valid epoch:90, time: 362.590376(s), NDCG (@2: 0.1172, @5: 0.1522, @10: 0.1753), Recall (@2: 0.1363, @5: 0.2137, @10: 0.2855)
Test epoch:90, time: 362.590376(s), NDCG (@2: 0.1224, @5: 0.1571, @10: 0.1805), Recall (@2: 0.1386, @5: 0.2158, @10: 0.2881)

Valid epoch:92, time: 370.819169(s), NDCG (@2: 0.1153, @5: 0.1508, @10: 0.1738), Recall (@2: 0.1328, @5: 0.2117, @10: 0.2833)
Test epoch:92, time: 370.819169(s), NDCG (@2: 0.1262, @5: 0.1589, @10: 0.1829), Recall (@2: 0.1447, @5: 0.2176, @10: 0.2917)

Valid epoch:94, time: 378.819604(s), NDCG (@2: 0.1163, @5: 0.1502, @10: 0.1739), Recall (@2: 0.1352, @5: 0.2113, @10: 0.2855)
Test epoch:94, time: 378.819604(s), NDCG (@2: 0.1262, @5: 0.1631, @10: 0.1869), Recall (@2: 0.1429, @5: 0.2260, @10: 0.3001)

Valid epoch:96, time: 386.900996(s), NDCG (@2: 0.1143, @5: 0.1487, @10: 0.1723), Recall (@2: 0.1330, @5: 0.2104, @10: 0.2835)
Test epoch:96, time: 386.900996(s), NDCG (@2: 0.1265, @5: 0.1586, @10: 0.1820), Recall (@2: 0.1438, @5: 0.2158, @10: 0.2881)

Valid epoch:98, time: 394.813335(s), NDCG (@2: 0.1141, @5: 0.1497, @10: 0.1740), Recall (@2: 0.1315, @5: 0.2109, @10: 0.2861)
Test epoch:98, time: 394.813335(s), NDCG (@2: 0.1241, @5: 0.1601, @10: 0.1823), Recall (@2: 0.1419, @5: 0.2219, @10: 0.2906)

Valid epoch:100, time: 402.521081(s), NDCG (@2: 0.1188, @5: 0.1527, @10: 0.1747), Recall (@2: 0.1380, @5: 0.2137, @10: 0.2824)
Test epoch:100, time: 402.521081(s), NDCG (@2: 0.1234, @5: 0.1575, @10: 0.1826), Recall (@2: 0.1395, @5: 0.2158, @10: 0.2939)

Valid epoch:102, time: 410.485332(s), NDCG (@2: 0.1158, @5: 0.1485, @10: 0.1710), Recall (@2: 0.1341, @5: 0.2068, @10: 0.2771)
Test epoch:102, time: 410.485332(s), NDCG (@2: 0.1233, @5: 0.1589, @10: 0.1810), Recall (@2: 0.1401, @5: 0.2199, @10: 0.2887)

Valid epoch:104, time: 418.407532(s), NDCG (@2: 0.1131, @5: 0.1450, @10: 0.1702), Recall (@2: 0.1294, @5: 0.1999, @10: 0.2777)
Test epoch:104, time: 418.407532(s), NDCG (@2: 0.1243, @5: 0.1588, @10: 0.1814), Recall (@2: 0.1399, @5: 0.2169, @10: 0.2872)

Valid epoch:106, time: 426.192251(s), NDCG (@2: 0.1145, @5: 0.1484, @10: 0.1722), Recall (@2: 0.1328, @5: 0.2091, @10: 0.2835)
Test epoch:106, time: 426.192251(s), NDCG (@2: 0.1266, @5: 0.1610, @10: 0.1840), Recall (@2: 0.1429, @5: 0.2197, @10: 0.2913)

Valid epoch:108, time: 434.178670(s), NDCG (@2: 0.1171, @5: 0.1512, @10: 0.1751), Recall (@2: 0.1345, @5: 0.2107, @10: 0.2846)
Test epoch:108, time: 434.178670(s), NDCG (@2: 0.1253, @5: 0.1620, @10: 0.1855), Recall (@2: 0.1414, @5: 0.2240, @10: 0.2969)

Valid epoch:110, time: 442.115076(s), NDCG (@2: 0.1139, @5: 0.1498, @10: 0.1748), Recall (@2: 0.1317, @5: 0.2115, @10: 0.2891)
Test epoch:110, time: 442.115076(s), NDCG (@2: 0.1295, @5: 0.1614, @10: 0.1844), Recall (@2: 0.1477, @5: 0.2201, @10: 0.2919)

Valid epoch:112, time: 449.931962(s), NDCG (@2: 0.1156, @5: 0.1477, @10: 0.1704), Recall (@2: 0.1335, @5: 0.2053, @10: 0.2755)
Test epoch:112, time: 449.931962(s), NDCG (@2: 0.1226, @5: 0.1547, @10: 0.1770), Recall (@2: 0.1395, @5: 0.2113, @10: 0.2801)

Valid epoch:114, time: 457.894498(s), NDCG (@2: 0.1173, @5: 0.1507, @10: 0.1748), Recall (@2: 0.1341, @5: 0.2085, @10: 0.2833)
Test epoch:114, time: 457.894498(s), NDCG (@2: 0.1222, @5: 0.1568, @10: 0.1790), Recall (@2: 0.1380, @5: 0.2150, @10: 0.2835)

