anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:3
dis_span:128
dropout_rate:0.2
gpu:3
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:86, time: 289.271402(s), Recall (@2: 0.1358, @5: 0.2184, @10: 0.2872), NDCG (@2: 0.1183, @5: 0.1550, @10: 0.1771)
Test epoch:86, time: 289.271402(s), Recall (@2: 0.1438, @5: 0.2262, @10: 0.2971), NDCG (@2: 0.1274, @5: 0.1640, @10: 0.1869)

Valid epoch:88, time: 296.007152(s), Recall (@2: 0.1361, @5: 0.2184, @10: 0.2896), NDCG (@2: 0.1161, @5: 0.1531, @10: 0.1759)
Test epoch:88, time: 296.007152(s), Recall (@2: 0.1451, @5: 0.2229, @10: 0.2932), NDCG (@2: 0.1274, @5: 0.1622, @10: 0.1848)

Valid epoch:90, time: 302.864409(s), Recall (@2: 0.1373, @5: 0.2197, @10: 0.2842), NDCG (@2: 0.1186, @5: 0.1553, @10: 0.1762)
Test epoch:90, time: 302.864409(s), Recall (@2: 0.1417, @5: 0.2180, @10: 0.2829), NDCG (@2: 0.1249, @5: 0.1591, @10: 0.1801)

Valid epoch:92, time: 309.886495(s), Recall (@2: 0.1397, @5: 0.2115, @10: 0.2876), NDCG (@2: 0.1193, @5: 0.1517, @10: 0.1763)
Test epoch:92, time: 309.886495(s), Recall (@2: 0.1429, @5: 0.2167, @10: 0.2878), NDCG (@2: 0.1253, @5: 0.1584, @10: 0.1811)

Valid epoch:94, time: 316.862702(s), Recall (@2: 0.1345, @5: 0.2137, @10: 0.2850), NDCG (@2: 0.1155, @5: 0.1507, @10: 0.1737)
Test epoch:94, time: 316.862702(s), Recall (@2: 0.1442, @5: 0.2221, @10: 0.2965), NDCG (@2: 0.1266, @5: 0.1617, @10: 0.1857)

Valid epoch:96, time: 323.993479(s), Recall (@2: 0.1350, @5: 0.2152, @10: 0.2889), NDCG (@2: 0.1172, @5: 0.1533, @10: 0.1771)
Test epoch:96, time: 323.993479(s), Recall (@2: 0.1477, @5: 0.2184, @10: 0.2952), NDCG (@2: 0.1293, @5: 0.1611, @10: 0.1860)

Valid epoch:98, time: 331.192909(s), Recall (@2: 0.1317, @5: 0.2124, @10: 0.2893), NDCG (@2: 0.1153, @5: 0.1517, @10: 0.1765)
Test epoch:98, time: 331.192909(s), Recall (@2: 0.1425, @5: 0.2163, @10: 0.2891), NDCG (@2: 0.1244, @5: 0.1575, @10: 0.1810)

Valid epoch:100, time: 338.136143(s), Recall (@2: 0.1356, @5: 0.2156, @10: 0.2829), NDCG (@2: 0.1179, @5: 0.1538, @10: 0.1755)
Test epoch:100, time: 338.136143(s), Recall (@2: 0.1470, @5: 0.2210, @10: 0.2874), NDCG (@2: 0.1276, @5: 0.1607, @10: 0.1821)

Valid epoch:102, time: 345.551400(s), Recall (@2: 0.1332, @5: 0.2111, @10: 0.2865), NDCG (@2: 0.1177, @5: 0.1524, @10: 0.1768)
Test epoch:102, time: 345.551400(s), Recall (@2: 0.1522, @5: 0.2195, @10: 0.2932), NDCG (@2: 0.1334, @5: 0.1636, @10: 0.1874)

Valid epoch:104, time: 352.843157(s), Recall (@2: 0.1345, @5: 0.2104, @10: 0.2809), NDCG (@2: 0.1164, @5: 0.1503, @10: 0.1730)
